County_FIPS,Customers
13303,10974
13305,16057
13307,988
13309,5211
13311,19687
13313,71130
13315,4661
13317,7535
13319,4059
13321,8795
15001,87747
15003,308098
15005,37
15007,34835
15009,73551
16001,256537
16003,2117
16005,43884
16007,5253
16009,4666
16011,19837
16013,11965
16015,3491
16017,27216
16019,79451
16021,4261
16023,81
16025,469
16027,112896
16029,3639
16031,14726
16033,685
16035,3978
16037,2468
16039,13404
16041,11748
16043,1866
16045,8691
16047,7548
16049,9920
16051,8995
16053,11738
16055,103287
16057,17870
16059,3727
16061,1808
16063,2360
16065,8877
16067,11696
16069,19938
16071,3921
16073,5501
16075,11846
16077,3842
16079,8461
16081,1775
16083,46267
16085,5992
16087,2900
17001,31760
17003,2842
17005,5736
17007,20979
17009,3007
17011,18642
17013,1865
17015,7336
17017,6087
17019,90035
17021,13660
17023,7829
17025,9085
17027,12465
17029,24455
17031,2162007
17033,10220
17035,4929
17037,79682
17039,6665
17041,8333
17043,313751
17045,8690
17047,4061
17049,14830
17051,7295
17053,5462
17055,19260
17057,12940
17059,2453
17061,5200
17063,43433
17065,4619
17067,9010
17069,1910
17071,3381
17073,40978
17075,10038
17077,26616
17079,4528
17081,22670
17083,7718
17085,3617
17087,6500
17089,127850
17091,85550
17093,92751
17095,25998
17097,581008
17099,63017
17101,7796
17103,25665
17105,25191
17107,10899
17109,12745
17111,120381
17113,81860
17115,45051
17117,15453
17119,107855
17121,15234
17123,7906
17125,4847
17127,8175
17129,4167
17131,8972
17133,15588
17135,10344
17137,16522
17139,6492
17141,42029
17143,137518
17145,11975
17147,6148
17149,6793
17151,1842
17153,3212
17155,2501
17157,14970
17159,9109
17161,83685
17163,94355
17165,12967
17167,138475
17169,2847
17171,2163
17173,5708
17175,3173
17177,12248
17179,80878
17181,10277
17183,46373
17185,9760
17187,8244
17189,7318
17191,10404
17193,8994
17195,44026
17197,299468
17199,35624
17201,120789
17203,24080
18001,12012
18003,156661
18005,32212
18007,4132
18009,7872
18011,40708
18013,7184
18015,9746
18017,24298
18019,57051
18021,13163
18023,19855
18025,4537
18027,19859
18029,19563
18031,12884
18033,30185
18035,81395
18037,31718
18039,70799
18041,8302
18043,33246
18045,5608
18047,8579
18049,9014
18051,14941
18053,47771
18055,18602
18057,159187
18059,40256
18061,14809
18063,75181
18065,18806
18067,41367
18069,13799
18071,23340
18073,19212
18075,9495
18077,15913
18079,13393
18081,57420
18083,15843
18085,40395
18087,12796
18089,252565
18091,58242
18093,21226
18095,76324
18097,493304
18099,20986
18101,5044
18103,21325
18105,75424
18107,22711
18109,31873
18111,6445
18113,24979
18115,2860
18117,12173
18119,13310
18121,7700
18123,10469
18125,4655
18127,84000
18129,11687
18131,6086
18133,17139
18135,11481
18137,16107
18139,7695
18141,94899
18143,12851
18145,18909
18147,9969
18149,10009
18151,17431
18153,7823
18155,4722
18157,71067
18159,6604
18161,2229
18163,106036
18165,6886
18167,51609
18169,11095
18171,3591
18173,15215
18175,12348
18177,40311
18179,17366
18181,12759
18183,30564
19001,3686
19003,1844
19005,6750
19007,6572
19009,2511
19011,13498
19013,57533
19015,10670
19017,16028
19019,12254
19021,11607
19023,4791
19025,4092
19027,8666
19029,10329
19031,8986
19033,29435
19035,5968
19037,6991
19039,4290
19041,13668
19043,10421
19045,21505
19047,9213
19049,58451
19051,4718
19053,3356
19055,7035
19057,18207
19059,6731
19061,46546
19063,5934
19065,8712
19067,7886
19069,4637
19071,4285
19073,3417
19075,5507
19077,5390
19079,9205
19081,5489
19083,6885
19085,7620
19087,11923
19089,4177
19091,3507
19093,3231
19095,6965
19097,10302
19099,15566
19101,6879
19103,77769
19105,8507
19107,4684
19109,7698
19111,15486
19113,118247
19115,4554
19117,4225
19119,5090
19121,9366
19123,8162
19125,19876
19127,15945
19129,7270
19131,6347
19133,7388
19135,4056
19137,5724
19139,30353
19141,5030
19143,3588
19145,9035
19147,4166
19149,8581
19151,3159
19153,287095
19155,51132
19157,6708
19159,2511
19161,3895
19163,67611
19165,7164
19167,16993
19169,63396
19171,8169
19173,2951
19175,6645
19177,3146
19179,21960
19181,23806
19183,9700
19185,2947
19187,20411
19189,7213
19191,9369
19193,25626
19195,2289
19197,5538
20001,13025
20003,6426
20005,8677
20007,1429
20009,14147
20011,12147
20013,5077
20015,40152
20017,699
20019,637
20021,2982
20023,2177
20025,688
20027,5867
20029,3413
20031,7173
20033,583
20035,21126
20037,34108
20039,2329
20041,4008
20043,3810
20045,68914
20047,2025
20049,1533
20051,17869
20053,1473
20055,33836
20057,20786
20059,20702
20061,8978
20063,1234
20065,1587
20067,3640
20069,4121
20071,1338
20073,4461
20075,2192
20077,2876
20079,6745
20081,1450
20083,965
20085,6676
20087,10486
20089,1642
20091,296663
20093,3185
20095,4799
20097,1086
20099,11654
20101,745
20103,40824
20105,848
20107,7723
20109,2091
20111,9811
20113,22878
20115,7056
20117,4214
20119,1376
20121,20608
20123,5576
20125,23498
20127,1258
20129,1066
20131,7024
20133,13984
20135,1309
20137,4238
